frage,antwort,quelle_url,kategorie,stand,ist_frage
Warum wird bei ID Austria mit Vollfunktion die Signatur mittels SMS-TAN nicht unterstützt? Welche Alternativen zur SMS-TAN gibt es?,"Bei Anmeldungen und Signaturen mittels Handy-Signatur oder ID Austria mit Basisfunktion konnten/können Sie sich eine SMS-TAN zusenden lassen, um Ihre Identität zu bestätigen. Die Vollfunktion der ID Austria unterliegt höheren EU-weiten Sicherheitsstandards, die z.B. auch die Ausweisfunktion am Smartphone ermöglichen. Eine Authentifizierung mittels SMS-TAN wird daher nicht angeboten. Es gibt folgende Alternativen zur SMS-TAN: App „ID Austria“: Sie erhalten eine Benachrichtigung von der App, die Sie auffordert, eine offene Signatur zu unterschreiben und per Fingerabdruck, Gesichtserkennung oder Gerätepasswort zu bestätigen. Hinweis: Wenn Sie Benachrichtigungen nicht aktiviert haben, können Sie in der App auch manuell auf „Offene Signaturen abfragen“ klicken, um Anmeldungen und Signaturen zu bestätigen. App „A-Trust Signatur“: Sie erhalten eine Benachrichtigung von der App, die Sie auffordert, eine offene Signatur zu unterzeichnen und per Fingerabdruck, Gesichtserkennung oder Gerätepasswort zu bestätigen. FIDO-Sicherheitsschlüssel: Um diesen anstelle der SMS-TAN zu nutzen, fügen Sie ihn mittels „FIDO-Sicherheitsschlüssel verknüpfen“ zu Ihrer ID Austria hinzu. Signaturkarte: Wenn Sie eine Signaturkarte besitzen, fügen Sie diese mittels „Signaturkarte hinzufügen“ als Authentifizierungsfaktor zu Ihrer ID Austria hinzu.",https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/authentifizierungsfaktoren,hilfe-zu-ida,2026-07-10,True
Wie funktioniert die Nutzung der ID Austria mit FIDO-Sicherheitsschlüssel?,"FIDO-Sicherheitsschlüssel können als zweiter Authentifizierungsfaktor zur Anmeldung mit ID Austria im Webbrowser verwendet werden und stellen dort eine Alternative zu Smartphone-Apps wie zb die App „ID Austria“ dar. Es handelt sich dabei um einen FIDO 2 Token (Fast IDentity Online Token). Dies ist ein Gerät, das mit einem Computer verbunden werden kann, ähnlich wie ein USB-Stick. Wenn Sie den FIDO-Sicherheitsschlüssel zur ID Austria hinzufügen, generiert der FIDO-Sicherheitsschlüssel ein Schlüsselpaar, mit dem Sie sicher authentisiert werden: Der private Schlüssel verbleibt im Token, der öffentliche Schlüssel wird mit Ihrer ID Austria verknüpft. Für die Authentifizierung muss eine Anfrage mithilfe des privaten Schlüssels bestätigt werden. Dadurch fungiert der FIDO-Sicherheitsschlüssel – ähnlich wie ein am Smartphone gespeicherter Fingerabdruck – als zweiter Authentifizierungsfaktor, um Ihre Identität bei Anmeldungen im Web zu bestätigen. Ein FIDO-Sicherheitsschlüssel kann im Handel erworben werden. Achten Sie dabei bitte darauf, dass er mit der ID Austria kompatibel sind. Prüfen Sie dazu die Liste der kompatiblen FIDO-Sicherheitsschlüssel. Wenn Sie bereits eine ID Austria besitzen, können Sie einen FIDO-Sicherheitsschlüssel als Authentifizierungsfaktor unter „Neuen FIDO-Sicherheitsschlüssel verknüpfen“ hinzufügen. Beachten Sie, dass dieser nicht zwischen mehreren Personen geteilt werden kann. Wenn Sie noch keine ID Austria besitzen, können Sie die Registrierung mittels SMS-TAN und FIDO-Sicherheitsschlüssel oder Registrierung mittels Post- TAN und FIDO-Sicherheitsschlüssel durchführen. Dafür benötigen Sie kein Smartphone. Der FIDO-Sicherheitsschlüssel muss bei der Verknüpfung und bei jeder Verwendung mit dem Gerät verbunden sein. Dafür wird im Browser ein zusätzliches Fenster des qualifizierten Vertrauensdiensteanbieters geöffnet. Anschließend werden Sie durch die Authentifizierung geführt: Sie bestätigen Ihre Anmeldung durch Eingabe der PIN Ihres FIDO-Sicherheitsschlüssels und durch Tippen auf diesen. Hinweis: Je nach Gerätekonfiguration kann es vorkommen, dass Ihr Gerät beim Verbinden des FIDO-Sicherheitsschlüssels vorschlägt, einen Passkey zu erstellen und dafür einen QR-Code zu scannen. In diesem Fall klicken Sie bitte auf „Anderes Gerät verwenden“ und setzen den Prozess wie oben beschrieben fort. Um Ihren FIDO-Sicherheitsschlüssel zurückzusetzen, wenden Sie sich bitte telefonisch an den qualifizierten Vertrauensdiensteanbieter der ID Austria. Allgemeine Information zu FIDO 2: https://fidoalliance.org/fido2/ https://fidoalliance.org/how-fido-works/",https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/authentifizierungsfaktoren,hilfe-zu-ida,2026-07-10,True
Welche FIDO-Sicherheitsschlüssel sind mit ID Austria kompatibel und wo sind sie erhältlich?,"FIDO-Sicherheitsschlüssel, die FIDO 2 Level 2 zertifiziert mit WebAuthn unterstützen, können mit ID Austria verwendet werden. Dies erfüllen derzeit: Modelle von GoTrustID: GoTrust Idem Key FIDO 2 ( USB-A/ NFC, USB-C/ NFC ) Modelle von Swissbit: iShield Key 2 ( USB-A/ NFC, USB-C/ NFC ) Modelle von Thales: SafeNet eToken Fusion Bio ( USB-A, USB-C) Modelle von TrustKey: Trustkey B210 Trustkey B210H Trustkey G310H Modelle von Yubico ( nur ab Firmware Version 5.7 – über welche Firmware Ihr YubiKey verfügt, können Sie auf der Yubico-Website mit einem Prüftool einsehen): YubiKey 5 Nano YubiKey 5 NFC YubiKey 5C YubiKey 5C Nano YubiKey 5C NFC YubiKey 5Ci Security Key NFC in schwarz ( USB-A, USB-C) Gängige Modelle bieten meist Verbindung via USB oder NFC zu Ihrem Computer an. Sie können im Handel erworben werden und können je nach Ausführung zwischen 30 Euro und 70 Euro kosten. Wir empfehlen die Nutzung am Betriebssystem Windows und die Verwendung von gängigen Browsern wie Chrome oder Firefox, um einen reibungslosen Ablauf sicherzustellen. Eine Übersicht über die Unterstützung von FIDO 2 auf Betriebssystemen und Browsern finden Sie auf https://fidoalliance.org/expanded-support-for-fido-authentication-in-ios-and-macos/.",https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/authentifizierungsfaktoren,hilfe-zu-ida,2026-07-10,True
Kann ich die ID Austria auch ohne Smartphone nutzen?,"Ja, die ID Austria kann auch mittels FIDO-Sicherheitsschlüssel oder Signaturkarte genutzt werden. Die Hinterlegung Ihrer Mobiltelefonnummer wird dennoch empfohlen, da diese zur etwaigen Wiederherstellung des ID Austria Zugangs nötig ist. Brauchen Sie weitere Unterstützung? Bitte kontaktieren Sie das Service Center.",https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/authentifizierungsfaktoren,hilfe-zu-ida,2026-07-10,True
Wann hilft mir diese Anleitung?,"Wenn Sie sich vergewissern wollen, wie Ihr Benutzername lautet, können Sie diesen in der App „ID Austria” oder im Web-Browser auf der Webseite oesterreich.gv.at einsehen. Benutzername in der App einsehen Benutzername im Web-Browser auf oesterreich.gv.at einsehen",https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/benutzername-einsehen,hilfe-zu-ida,2025-09-30,False
Benutzername in der App „ID Austria“ einsehen,"Sie müssen eine verknüpfte App „ID Austria” haben, um diese Funktion zu nutzen. Gehen Sie zum Menüpunkt „Konto“. Ihr Benutzername sowie weitere Daten zu Ihrem ID Austria Zertifikat werden angezeigt. Bildschirm-Ablauf für „Benutzername einsehen“ in der App",https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/benutzername-einsehen,hilfe-zu-ida,2025-09-30,False
Benutzernamen im Web-Browser auf oesterreich.gv.at einsehen,"Öffnen Sie im Web-Browser die Funktion Benutzernamen vergessen. Melden Sie sich mit Ihrer hinterlegten Mobiltelefonnummer, sowie Ihrem Signatur-Passwort an. Ihr Benutzername wird angezeigt.",https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/benutzername-einsehen,hilfe-zu-ida,2025-09-30,False
Warum ist der Gang zur Registrierungsbehörde notwendig?,"Sicherheit steht bei der ID Austria an erster Stelle. Da mit der ID Austria – im Gegensatz zur Handy-Signatur – z.B. staatliche Ausweise digital zur Verfügung gestellt werden, ist es unbedingt erforderlich, dass die Identität der Nutzerinnen oder der Nutzer auch von der Behörde festgestellt wird. Das beugt Missbrauch vor und erhöht zudem das Vertrauen in die digitale Identität ID Austria. Hinweis: Für Nutzerinnen oder Nutzer der Handy-Signatur, deren Handy-Signatur behördlich registriert wurde, ist eine Online-Umstellung von Handy-Signatur zu ID Austria ohne nochmalige behördliche Identitätsfeststellung möglich.",https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/besuch-bei-registrierungsbehoerden,hilfe-zu-ida,2025-10-10,True
Muss ich bei der Ausstellung des Reisepasses oder Personalausweises die ID Austria annehmen?,"Nein. Wenn Sie auf die ID Austria verzichten wollen, teilen Sie dies bitte bei der Ausstellung des Reisepasses oder Personalausweises Ihrer Sachbearbeiterin oder Ihrem Sachbearbeiter mit (Opt-out). Sie erhalten somit keine ID Austria.",https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/besuch-bei-registrierungsbehoerden,hilfe-zu-ida,2025-10-10,True
Für wen entfällt der Gang zur Registrierungsbehörde?,"Für Nutzerinnen oder Nutzer, deren Handy-Signatur von einer Behörde registriert wurde ( z.B. via FinanzOnline oder von einem Gemeindeamt/einer Bezirkshauptmannschaft), ist kein persönlicher Behördengang für die Registrierung der ID Austria erforderlich. Sie können in diesem Fall die Online-Umstellung von Handy-Signatur zu ID Austria mit Vollfunktion durchführen. Nutzerinnen oder Nutzer, deren Handy-Signatur nicht von einer Behörde registriert wurde, haben die Möglichkeit, online von Handy-Signatur auf ID Austria mit Basisfunktion umzustellen. Sie können damit den von der Handy-Signatur gewohnten Funktionsumfang weiterhin nutzen, solange das Zertifikat gültig ist (normalerweise 5 Jahre ab Aktivierung der Handy-Signatur). Für weitere Funktionen, wie z.B. digitale Nachweise in der App „e Ausweise“, benötigen Sie allerdings die ID Austria mit Vollfunktion. Dafür ist ein Behördengang zur Identitätsfeststellung notwendig. Wenn Sie Ihre Handy-Signatur wie oben beschrieben zuerst online auf eine ID Austria mit Basisfunktion umstellen, ist Ihre ID Austria mit Basisfunktion im System der Behörde bereits vorregistriert. Sie können sie daher direkt bei der Behörde zur Vollfunktion aufwerten, siehe Anleitung ID Austria Registrierung mit ID Austria (Basisfunktion). Brauchen Sie weitere Unterstützung? Bitte kontaktieren Sie das Service Center.",https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/besuch-bei-registrierungsbehoerden,hilfe-zu-ida,2025-10-10,True
